disease,symptoms,tests,specialist to Consult,urgency 
Fulminant Hepatitis B (with metastasis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Subacute Tuberculosis (with hemorrhage),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Subacute Hepatitis C (with metastasis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Recurrent Dengue fever,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Chronic Legionnaires disease (with hemorrhage),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Chronic Legionnaires disease (with secondary infection),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Drug-induced Urinary tract infection (with metastasis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Drug-induced Hepatitis B,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Fulminant Legionnaires disease (with metastasis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Mild Legionnaires disease,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Post-infectious Influenza (complicated by sepsis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Mild Malaria (with obstruction),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Acute Leprosy (with hemorrhage),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Chronic Cholera (complicated by sepsis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Mild C. difficile infection (complicated by sepsis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Subacute Sepsis (with hemorrhage),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Acute Pertussis (with secondary infection),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Drug-induced Bacterial meningitis,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Mild Pertussis (with obstruction),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Acute Dengue fever (with hemorrhage),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Chronic Endocarditis (complicated by sepsis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Fulminant Legionnaires disease (complicated by sepsis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Chronic HIV infection (complicated by sepsis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Recurrent C. difficile infection (complicated by sepsis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Recurrent Leprosy (with obstruction),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Fulminant Tuberculosis (with obstruction),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Mild Malaria (with secondary infection),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Severe Urinary tract infection (with hemorrhage),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Severe Viral meningitis (with hemorrhage),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Fulminant C. difficile infection (with hemorrhage),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Chronic Influenza (with obstruction),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Drug-induced Cellulitis,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Chronic Hepatitis C (with hemorrhage),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Drug-induced Tuberculosis (with secondary infection),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Subacute Dengue fever (with secondary infection),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Chronic COVID-19 (with obstruction),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Recurrent Tetanus (with obstruction),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Subacute Brucellosis,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Post-infectious Rheumatic fever (complicated by sepsis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Severe Brucellosis,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Recurrent HIV infection (with secondary infection),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Chronic COVID-19 (complicated by sepsis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Chronic Pneumonia,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Subacute Legionnaires disease (complicated by sepsis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Mild Legionnaires disease (with hemorrhage),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Fulminant Viral meningitis (with obstruction),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Chronic Cellulitis,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Fulminant Lyme disease (complicated by sepsis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Recurrent Tuberculosis (with hemorrhage),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Acute Pneumonia,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Severe Typhoid fever (with metastasis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Fulminant Leprosy,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Recurrent C. difficile infection,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Acute Cellulitis (with secondary infection),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Fulminant Malaria,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Recurrent COVID-19,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Recurrent Typhoid fever (with obstruction),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Drug-induced Pertussis (complicated by sepsis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Drug-induced Tuberculosis (complicated by sepsis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Mild Lyme disease (with obstruction),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Severe Lyme disease (with metastasis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Drug-induced Pneumonia,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Fulminant Leprosy (with secondary infection),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Chronic Malaria (with secondary infection),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Chronic Pneumonia (with secondary infection),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Fulminant Pneumonia (complicated by sepsis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
